"""""""Boys convince themselves they are a man by drinking lots of beer and having a vagina nearby to stick themselves into."""" FUCKING NAILED IT""","[""men need to prove themselves as manly"", ""men only drink."", ""men only want a woman to have sex with."", ""men will have sex with anyone""]"
"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?","[""must be masculine"", ""should not show weakness"", ""women date \""inferior\"" men"", ""women don't want real men anymore"", ""women sometimes just referred to as \""females\"""", ""women want to date weak men""]"
"""@ErikssonMalin85: Have you ever been threatened with rape by a woman? #QuestionsForMen""  Yes.  Many times, but ONLY by feminist women.","[""feminists are violent"", ""feminists threaten rape"", ""threaten men"", ""use rape to get what they want""]"
"""@POTUS @oreillyfactor Bill O""""Reilly did nothing wrong, says the Donald He probably just grabbed some pussy Like a president!""","[""conservatives are immoral"", ""conservatives are perverts""]"
"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!","[""women are used for cooking"", ""women are used for sex""]"
"""@YoungRicooo: Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday","[""women are superficial"", ""women only care about money"", ""women only want women"", ""women will sleep with anyone with money""]"
"""Before we """"PRAY FOR SYRIA"""" and their fake crisis, can we """"PRAY FOR CHICAGO"""" and their real crisis of murdered children⁉️⁉️""","[""trivializes harm to victims""]"
"""Fat acceptance"" is absolutely degeneracy of the highest order, and during the Fourth Reich, there will be compulsory calisthenics.","[""fat people are degenerate"", ""fat people are degenerates."", ""fat people are unwanted"", ""fat people have no morals."", ""overweight people are degenerate""]"
"""From 1480 to 1913 European Queens waged far more wars that European Kings"" [xpost: r/history]","[""women are more warmongering than men"", ""women cause more conflict than men""]"
"""Is that an albino Mexican?""
""No dad, he's Asian.""","[""all look alike"", ""asian people are pale"", ""asian people are short"", ""look albino"", ""look mexican"", ""should be made fun of""]"
"""Libyan government to investigate slave auctions in which African migrants are sold to the highest bidder""
How come they're selling them in Libya when they're giving them to Europe for free?","[""african migrants are invading europe."", ""african migrants should be sold into slavery."", ""makes a joke of slavery"", ""trivializes slavery of blacks""]"
"""Niggas don't lie, our ugly friend put up a pic we just gon write """"nigga u ugly"""" under it""","[""black folks are inferior"", ""black people are ugly"", ""uses a racial slur"", ""uses the n word""]"
"""One man's trash is another man's treasure"" Wonderful saying, horrible way to find out that you were adopted.","[""adopted children are problem children"", ""adopted children are unwanted""]"
"""Personality""
I just want to get a bat and bludgeon the face of the next female that utters this word.","[""does not have valid opinions"", ""is deserving of voilence"", ""trivializes harm to victims"", ""women are objects"", ""women are sex objects""]"
"""RT @_jadanoele: """"na boo you just be fucking with the wrong niggas"""" - a wronger nigga""","[""black men are hitting on women inappropriately"", ""black people are putting down other black people."", ""black people are referred to as niggas"", ""niggas is a slang term""]"
"""RT @cocosbentmind: Muslims in Germany chant""""Adolf Hitler""""&amp;""""death to Jews""""as they Nazi salute. Ironically side fighting this hate in U.…""","[""are nazis"", ""muslims are fascists"", ""muslims are inconsiderate"", ""muslims hate westerners"", ""muslims want to kill jews"", ""want to kill all jews""]"
"""Snigger"" -&gt;  ""Laughrican American""","[""black folks are inferior"", ""black folks aren't smart"", ""racism is funny"", ""the n word is funny""]"
"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an","[""gays are bad"", ""gays are disgusting"", ""is not okay"", ""shouldn't be seen"", ""shouldn't get married""]"
"""he is attractive but not my type""
u hear this saying a lot from females in the show 'dating in the dark'

ie: he is ugly but i don't want to look shallow because im a coward piece of shit","[""women are hypocritical"", ""women are shallow"", ""women are stupid"", ""women have low self esteem""]"
