"Toxic masculinity: drinking beer, objectifying women.","[""men need to prove themselves as manly"", ""men only drink."", ""men only want a woman to have sex with."", ""men will have sex with anyone""]"
Belittling men who show emotions.,"[""must be masculine"", ""should not show weakness"", ""women date \""inferior\"" men"", ""women don't want real men anymore"", ""women sometimes just referred to as \""females\"""", ""women want to date weak men""]"
Implied stereotyping of feminist women.,"[""feminists are violent"", ""feminists threaten rape"", ""threaten men"", ""use rape to get what they want""]"
Implied endorsement of sexual assault.,"[""conservatives are immoral"", ""conservatives are perverts""]"
"Gender stereotypes, sexual objectification.","[""women are used for cooking"", ""women are used for sex""]"
Stereotyping women as gold diggers.,"[""women are superficial"", ""women only care about money"", ""women only want women"", ""women will sleep with anyone with money""]"
Downplays crisis in Syria.,"[""trivializes harm to victims""]"
Fat people are lazy and need to exercise.,"[""fat people are degenerate"", ""fat people are degenerates."", ""fat people are unwanted"", ""fat people have no morals."", ""overweight people are degenerate""]"
Gender stereotype in warfare.,"[""women are more warmongering than men"", ""women cause more conflict than men""]"
Confusion between ethnic groups.,"[""all look alike"", ""asian people are pale"", ""asian people are short"", ""look albino"", ""look mexican"", ""should be made fun of""]"
Mocking African migrants' value and autonomy.,"[""african migrants are invading europe."", ""african migrants should be sold into slavery."", ""makes a joke of slavery"", ""trivializes slavery of blacks""]"
Stereotype of dishonesty and unattractiveness.,"[""black folks are inferior"", ""black people are ugly"", ""uses a racial slur"", ""uses the n word""]"
Adopted child is unwanted trash.,"[""adopted children are problem children"", ""adopted children are unwanted""]"
Violent rejection of stereotyping.,"[""does not have valid opinions"", ""is deserving of voilence"", ""trivializes harm to victims"", ""women are objects"", ""women are sex objects""]"
Disrespect for black men.,"[""black men are hitting on women inappropriately"", ""black people are putting down other black people."", ""black people are referred to as niggas"", ""niggas is a slang term""]"
"Anti-Semitic, Islamophobic, Hypocrisy in combating hate.","[""are nazis"", ""muslims are fascists"", ""muslims are inconsiderate"", ""muslims hate westerners"", ""muslims want to kill jews"", ""want to kill all jews""]"
Implied racial stereotype: Black people laughing.,"[""black folks are inferior"", ""black folks aren't smart"", ""racism is funny"", ""the n word is funny""]"
Offensive view against same-sex relationships.,"[""gays are bad"", ""gays are disgusting"", ""is not okay"", ""shouldn't be seen"", ""shouldn't get married""]"
Implied shallow judgment based on physical appearance.,"[""women are hypocritical"", ""women are shallow"", ""women are stupid"", ""women have low self esteem""]"
Calling adult women immature.,"[""calls women females"", ""women are childish""]"
"Threat of violence, toxic masculinity.","[""women are bitches"", ""women are weak""]"
implied insult about Christianity,"[""pagan folks are inferior"", ""pagan folks are pathetic"", ""pagan folks are wish washy christians"", ""pagans are bad"", ""pagans are less than christians"", ""pagans are the devil"", ""pagans are worse than christians""]"
Sexist comment about female singers.,"[""women aren't as good as men"", ""women aren't good singers"", ""women can't sing"", ""women have no talent""]"
Ugly men are bad people.,"[""a man must be good-looking to have a good personality"", ""ugly folks are bad people."", ""ugly folks are mean."", ""ugly men are horrible inside""]"
Racist comment against Black person,"[""black folks aren't as good as white people"", ""black folks ruin everything"", ""black people are lesser human beings"", ""black people don't mind being called racial slurs""]"
Homophobia and dehumanization.,"[""are cancerous"", ""are sick"", ""gay men are immoral"", ""gay men are irresponsible"", ""has something wrong"", ""should die""]"
Racial slur and gender insult.,"[""use of n word"", ""women are bitches""]"
Violent and sexist comment.,"[""trivializes harm to victims""]"
Negative body image stereotypes.,"[""are just objects"", ""fat folks need to lose weight"", ""fat people are unattractive"", ""fat people should lose weight"", ""fat women are hoes"", ""women are refereed to as a derogatory word""]"
