"""Boys convince themselves they are a man by drinking lots of beer and having a vagina nearby to stick","[""men need to prove themselves as manly"", ""men only drink."", ""men only want a woman to have sex with."", ""men will have sex with anyone""]"
"""How does doing this stuff make him a pussy?"" asks one Twitter user.","[""must be masculine"", ""should not show weakness"", ""women date \""inferior\"" men"", ""women don't want real men anymore"", ""women sometimes just referred to as \""females\"""", ""women want to date weak men""]"
"""Many times, but ONLY by feminist women,"" Erikssonmalin85","[""feminists are violent"", ""feminists threaten rape"", ""threaten men"", ""use rape to get what they want""]"
"""He probably just grabbed some pussy Like a president!"" tweets Donald Trump. ""","[""conservatives are immoral"", ""conservatives are perverts""]"
"""S/o to the ones that can do both!"" he wrote.","[""women are used for cooking"", ""women are used for sex""]"
Ricooo: Sad knowing that most hoes won't fuck with you,"[""women are superficial"", ""women only care about money"", ""women only want women"", ""women will sleep with anyone with money""]"
"""Before we """"PRAY FOR SYRIA"""" and their fake crisis, can we","[""trivializes harm to victims""]"
"""Fat acceptance"" is degeneracy of the highest order, says the","[""fat people are degenerate"", ""fat people are degenerates."", ""fat people are unwanted"", ""fat people have no morals."", ""overweight people are degenerate""]"
From 1480 to 1913 European Queens waged far more wars that,"[""women are more warmongering than men"", ""women cause more conflict than men""]"
"""No dad, he's","[""all look alike"", ""asian people are pale"", ""asian people are short"", ""look albino"", ""look mexican"", ""should be made fun of""]"
Libyan government to investigate slave auctions in which African migrants are sold to the highest bidder. How come they're selling them in Libya when they,"[""african migrants are invading europe."", ""african migrants should be sold into slavery."", ""makes a joke of slavery"", ""trivializes slavery of blacks""]"
"""Niggas don't lie, our ugly friend put up a pic we","[""black folks are inferior"", ""black people are ugly"", ""uses a racial slur"", ""uses the n word""]"
"""One man's trash is another man's treasure"" Wonderful saying, horrible","[""adopted children are problem children"", ""adopted children are unwanted""]"
"""I just want to get a bat and bludgeon the face of the next","[""does not have valid opinions"", ""is deserving of voilence"", ""trivializes harm to victims"", ""women are objects"", ""women are sex objects""]"
Rapper Jadanoele tweeted a clip of himself,"[""black men are hitting on women inappropriately"", ""black people are putting down other black people."", ""black people are referred to as niggas"", ""niggas is a slang term""]"
"""Muslims in Germany chant""""Adolf Hitler""""&amp;""""death to","[""are nazis"", ""muslims are fascists"", ""muslims are inconsiderate"", ""muslims hate westerners"", ""muslims want to kill jews"", ""want to kill all jews""]"
"""","[""black folks are inferior"", ""black folks aren't smart"", ""racism is funny"", ""the n word is funny""]"
"""Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags","[""gays are bad"", ""gays are disgusting"", ""is not okay"", ""shouldn't be seen"", ""shouldn't get married""]"
"""He is attractive but not my type"" ""He is ugly but i don't want to look shallow because im a coward piece of shit""","[""women are hypocritical"", ""women are shallow"", ""women are stupid"", ""women have low self esteem""]"
"""i can't stand these """"grown"""" ass females,"" he wrote. ""","[""calls women females"", ""women are childish""]"
"""if i wasnt in a work place id deck you"" aye fucking right, I'd give you a tyson 4 combo n","[""women are bitches"", ""women are weak""]"
"""imagine having such a pathetic relationship with christ that","[""pagan folks are inferior"", ""pagan folks are pathetic"", ""pagan folks are wish washy christians"", ""pagans are bad"", ""pagans are less than christians"", ""pagans are the devil"", ""pagans are worse than christians""]"
"""just don't"" = the sum total of your unconscious biases. I'm not sexist but","[""women aren't as good as men"", ""women aren't good singers"", ""women can't sing"", ""women have no talent""]"
"""Most ugly men are ugly","[""a man must be good-looking to have a good personality"", ""ugly folks are bad people."", ""ugly folks are mean."", ""ugly men are horrible inside""]"
. #000000 this sub has only gone downhill since scroo,"[""black folks aren't as good as white people"", ""black folks ruin everything"", ""black people are lesser human beings"", ""black people don't mind being called racial slurs""]"
#faggots are MERELY a #scientific indicator that SOMETHING,"[""are cancerous"", ""are sick"", ""gay men are immoral"", ""gay men are irresponsible"", ""has something wrong"", ""should die""]"
@I_DontKIAra:,"[""use of n word"", ""women are bitches""]"
@NoRapist: Throwing lamps,"[""trivializes harm to victims""]"
@Weakass_Drex: If Jennifer,"[""are just objects"", ""fat folks need to lose weight"", ""fat people are unattractive"", ""fat people should lose weight"", ""fat women are hoes"", ""women are refereed to as a derogatory word""]"
@aerinblazin: I'm,"[""are just objects"", ""are second class citizens"", ""derogatory term used"", ""women are not intelligent""]"
@lovelyatotheb: @1Bcarter would love the Parks,"[""women are hoes"", ""women sleep around""]"
@nhalegood: When h,"[""are all hoes"", ""is promiscuous"", ""woman are hoes/sexually promiscuous"", ""woman are vain""]"
Psychological damage at the hands of female human organisms has permanently made you the way you are mentally. Even if you woke up as Chad and you wouldn,"[""are out to get straight men"", ""makes straight men crazy"", ""women are abusive"", ""women are sex objects""]"
Femoids would rather die than spend more than 5 seconds with an,"[""women are judgmental."", ""women are mean.""]"
'As long as we never make another mistake the left will let us speak' says,"[""liberals are intolerant"", ""liberals are nazis""]"
'Build the wall deport em,"[""illegals should be deported"", ""immigrants are not welcome"", ""mexican folks should be deported"", ""mexican folks should not be in the us""]"
Men get circumcised but women don't in America. Maybe if we started cutting off their clits they'd be,"[""women are sluts."", ""women are whores."", ""women need to be controlled."", ""women need to be kept in line"", ""women should be circumcised, too."", ""women should be punished""]"
A black woman calls her 5 kids Tyrone. How can she tell them apart,"[""black men are all tyrones"", ""black men don't take care of their kids."", ""black people all look alike"", ""black women have multiple children with multiple men."", ""have different dads""]"
Krislisisms: You niggas switch,"[""gay men are called fags"", ""gay men are indecisive"", ""gay men are lesser than other groups"", ""gay men should be called faggots""]"
"Nah I’m OK. She’s actually quite pretty. A box of condoms,","[""unattractive women are objects or not worth being loved."", ""woman are objects"", ""woman are sex objects"", ""you need to put a bag over an ugly women's face to have sex with her.""]"
No jews were harmed in the,"[""jewish people lied about the holocaust"", ""jews are liars"", ""jews didn't die in the holocaust"", ""trivializes harm to victims""]"
"""You've NEVER had tai","[""all japanese people are familiar with the same food dishes."", ""all japanese people are the same."", ""japanese people should fit a certain sterotype"", ""japanese people should have a knowledge of japanese foods""]"
"The internet shows that most girls don't know how to form their own opinions, he says. @","[""women are defined by their men."", ""women are intellectually deficient."", ""women are not as smart as men"", ""women can't form their own opinons"", ""women cannot think for themselves""]"
"""Selfish hypocrisy is the crux of","[""are hypocrites"", ""dont really care about equality"", ""feminists are hypocrites"", ""feminists are hypocrits"", ""feminists are less intelligent than other people"", ""feminists want inequality""]"
@Buck,"[""are niggers"", ""calls black people nigger"", ""is inherently bad"", ""slur"", ""use of the word nigger""]"
135 billion dollars a year due to Illegal Aliens. No more,"[""all immigrants cost the taxpayers"", ""all immigrants need to stay out"", ""should stay in their own country"", ""should stay out of the usa""]"
"2 condoms walk by a gay bar. One looks at the other and asks ""Hey, you","[""are just objects"", ""derogatory term used"", ""gay men all have anal sex"", ""gay men are promiscuous"", ""gay men like to have anal sex"", ""gay men like to have anal sex, so poo will be on the condoms""]"
" 2018 Democrat Strategy: Programs voting machines to register ""Democrat"" at least 1.5:1 ratio.","[""democrats cheat"", ""democrats lie"", ""liberals are corrupt"", ""liberals are liars""]"
No more tax breaks for churches. No more safety gloves. It's time we start calling out the hypocrisy and,"[""christians are hypocrites"", ""christians take advantage of tax breaks""]"
9/11 jokes always seem good in the beginning But,"[""trivializes harm to victims""]"
I lost 500$ betting on which building would fall down first. 9,"[""terrorist attacks are exaggerated by the govt."", ""trivializes harm to victims""]"
"9/11 was an inside job I mean why else would you only put one tower to replace two, there's no way that Trump","[""trivializes harm to victims""]"
Dudes who go to culinary school,"[""straight men do not cook"", ""women should cook for men"", ""women should do the cooking"", ""women should take care of all household duties""]"
@Big,"[""faggot is a derogatory term for gay people."", ""gay men are called faggots"", ""gay men are lesser than"", ""gay men should be called faggots"", ""gay people deserve to die"", ""gays are gross""]"
@BlakkHoodie,"[""black people are the n word""]"
"President Donald Trump says he's keeping his promises despite the ""lefts resistance"" to his","[""leftists dont know what this country needs"", ""liberals are wrong""]"
Dat damn dog eats betta den most,"[""black folks are poor"", ""black folks can't afford healthy food"", ""black folks cannot afford good food"", ""black folks eat poorly"", ""minorities are poor"", ""minorities eat poorly""]"
Swamp drains anyone. @PrisonPlanet @realDonaldTrump I'm afraid,"[""conservatives are bad"", ""conservatives are the \""swamp\""""]"
We Jews are G-d's,"[""describes jews as kikes"", ""jewish people are ashamed of their history"", ""jewish people are k*kes"", ""jews are ashamed of being jewish or self hating""]"
,"[""gay men should be called fags"", ""gay men should be the butt of jokes""]"
I eat dat chicken out your love box baby. Lovin a white woman while eatin,"[""black folks eat chicken"", ""black folks lust after white women"", ""blacks are attracted to white women"", ""blacks like fried chicken"", ""blacks love fried chicken"", ""whites and blacks are different""]"
Khalifa99 says he used to call her an ungrateful bitch and retarded,"[""are just objects"", ""derogatory term used"", ""not intelligent"", ""women are refereed to as a derogatory word""]"
,"[""fags is a bad term"", ""gay folks are \""fags\"""", ""gay folks are inferior."", ""gay people are called fags"", ""is a disappointment"", ""is promiscuous""]"
"""You don't have any kids?!","[""gay folks don't have a family."", ""gay folks don't have kids."", ""gay people don't have families"", ""gay people don't have kids""]"
"""bitches talk shit, you got the right to","[""are just objects"", ""are lesser people""]"
"""What else are you expect","[""black folks are dumb"", ""black folks are subhuman"", ""black people are less"", ""black people are niggers"", ""blacks are bad"", ""blacks should be called the n-word""]"
@raider_level them,"[""women are hoes"", ""women are only worth something if they're attractive"", ""women exist to please men"", ""women should be of a certain body type""]"
I'm disappointed. @realDonaldTrump why did Nunes recuse himself?,"[""conservatives are cowards"", ""conservatives are spineless""]"
Niqqa is a term used to refer to every white person. Niqqa means ',"[""all white people have potential to be racist"", ""white folks are always out to get someone"", ""white folks are evil"", ""white people are all still racists"", ""white people are trashy"", ""white people use everything against blacks""]"
A Black kid complemented my T-shirt He said: Nice shirt faggot... I said,"[""black people are inferior"", ""black people are slaves"", ""blacks picked cotton"", ""blacks were slaves"", ""pick cotton"", ""were slaves""]"
"A Cop Told A Suspect To Put His Hands Up, And Then He Shot Him. Do","[""black folks are inferior"", ""black folks deserve to die"", ""blacks are common targets of cops"", ""blacks are target of killings""]"
A Jew walks in to a bar and then the metal door,"[""jewish folks are criminals."", ""jewish folks should be in jail."", ""jewish people are inferior"", ""jewish people were all burned"", ""trivializes harm to victims""]"
"A Jewish boy asks his father for $50. The father replies, ""$","[""jewish people are cheap"", ""jewish people are stingy"", ""jews are cheap."", ""jews are greedy"", ""jews are swindlers."", ""jews belong in concentration camps""]"
"Toddler threw a penny into a fountain, hoping it gave him a wish. His parents then chucked him angrily into the water to get","[""jewish people are bad parents"", ""jewish people are greedy/stingy"", ""jewish people only care about money"", ""jews are cheap"", ""jews are miserly"", ""jews are misers"", ""jews love money""]"
A Madden player was fatally shot during a touchdown. Trueboy really,"[""trivializes harm to victims""]"
