gender,comment,talkid,videourl,tone,expertise,encouraging,respectful
male,"apps, its crazy what kids know. while working for a few charleston wedding photographers at www.charlestonsnapped.com who use to make wedding apps. not sure if they still make them but few were mary me apps.",1069,http://download.ted.com/talks/NigelMarsh_2010X.mp4,None,No Degree,Neutral,Neutral
male,glad that education didn't succeed in ruining that genius thought process of yours mr. balasubramaniam. aren't you glad you didn't get thru academics at school. you discovered your voice. we gained a thinking artist.,1359,http://download.ted.com/talks/LucienEngelen_2011X.mp4,Negative,Non-STEM degree,Discouraging,Disrespectful
male,"1: ""and he giveth you of all that ye ask for. but if ye count the favours of allah, never will ye be able to number them. verily, man is given up to injustice and ingratitude.""",1049,http://download.ted.com/talks/JodyWilliams_2010W.mp4,Neutral,Non-STEM degree,Neutral,Neutral
male,"brilliant. still ....if he says it is actually cheap technology, why are they charging so much for computer interfaces such as the jazz mutant lemur & dexter, monome & tendori-on.",2071,http://download.ted.com/talks/JillShargaa_2014S.mp4,None,Non-STEM degree,Discouraging,Respectful
male,"he has something strange in his voice, now main brains huuurts.",1321,http://download.ted.com/talks/JonasGahrStore_2011X.mp4,None,No Degree,Neutral,Disrespectful
male,"saying you ""have a friend""  or making sweeping statements of any kind is unacceptable and throws doubt on your veracity.  please back up any and all claims with citations.",831,http://download.ted.com/talks/ThelmaGolden_2009.mp4,Strongly Negative,STEM degree,Discouraging,Respectful
male,"i wish my naughty labrador rumi could be trained by ian! still i love her and she does understand english - sit, biscuit, food, ball are all very clear to her.",1814,http://download.ted.com/talks/AlexaMeade_2013G.mp4,Positive,No Degree,Encouraging,Neutral
male,"amazing talk. the emotion attachment, that is hiding inside the internet, is yet waiting to be discovered. the world becomes so alive when you start to think, and when you start to connect. i wonder what ze would do with all the comments on his ted talks?",1332,http://download.ted.com/talks/BilalBomani_2011X.mp4,Positive,STEM degree,Encouraging,Respectful
male,oh.... the spectacular irony... the car co's dragged their feet... and looky here... if they had created the market they might have a market ... now they are vanishing before our very eyes... bye bye gm. hows that for a killer sequel !,1743,http://download.ted.com/talks/JaySilver_2013S.mp4,Negative,Non-STEM degree,Discouraging,Disrespectful
male,"his language is at the same level as the archutecture and city planning he reffers to. and of course, insult the bulgarians while you're at it... he does have a point, but the delivery is so crass...",1983,http://download.ted.com/talks/ElizabethGilbert_2014.mp4,Negative,STEM degree,Discouraging,Respectful
male,this speech is chilling to the bones. brown is abusing human suffering and people's desire to help in his afford to promoting global government and increased government control. i would not care so much if he was not the british prime minister and a significant power in international politics.,1603,http://download.ted.com/talks/HannahBrencher_2012S.mp4,None,STEM degree,Discouraging,Respectful
male,he take a shot at iceland.  they told people who talk like him to get out of power and head to jail.  they are doing fine.  his prescription is toward disaster for real people.  that is us.,1706,http://download.ted.com/talks/DanAriely_2012X.mp4,None,STEM degree,Discouraging,Respectful
male,"can't believe he didn't mention sex slavery, which if anything is the most despicable form of slavery and would certainly have strengthened his case and his talk even more.  overall good talk though, and very important for getting that info out there.",1462,http://download.ted.com/talks/DaliaMogahed_2012S.mp4,None,STEM degree,Encouraging,Respectful
male,"five miles a second.  hard to relate to at first.  then, a sunrise and sunset every forty five minutes....for six months.  what an incredible reward for overcoming your fears and keeping your goal in front of you.  an amazing ride he takes you through!",472,http://download.ted.com/talks/MiruKim_2008P.mp4,Positive,STEM degree,Encouraging,Respectful
male,"a bright, delightful gentleman, but missing the point.  when you lose your precious data, you lose your visualization.  then what do you have?  by the way, all of america's wealth can go to zero in the blink of an eye.  bibbity-bobbity-boo!",1370,http://download.ted.com/talks/AviRubin_2011X.mp4,Neutral,Non-STEM degree,Encouraging,Neutral
male,"ron, ,it was great meeting and engaging with you at tedxmidwest.... i appreciate your advice and words of wisdom...",724,http://download.ted.com/talks/VilayanurRamachandran_2009I.mp4,Positive,STEM degree,Encouraging,Respectful
male,"amazing , amaazing may god bless you more , it is so inspiring, and touchy may you get the help you need and help more people with your work.",1575,http://download.ted.com/talks/BenGoldacre_2012P.mp4,Strongly Positive,No Degree,Encouraging,Neutral
