"In the UK, it is illegal to be a man when you are under the age of 18.","[""men need to prove themselves as manly"", ""men only drink."", ""men only want a woman to have sex with."", ""men will have sex with anyone""]"
"Comedian Amy Schumer has poked fun at Donald Trump's ""pussy"" comments on Twitter.","[""must be masculine"", ""should not show weakness"", ""women date \""inferior\"" men"", ""women don't want real men anymore"", ""women sometimes just referred to as \""females\"""", ""women want to date weak men""]"
Swedish footballer Eriksson has been asked on Twitter if he has ever been threatened with rape.,"[""feminists are violent"", ""feminists threaten rape"", ""threaten men"", ""use rape to get what they want""]"
"President Donald Trump has taken to Twitter to defend Fox News host Bill O'Reilly, who has been suspended by the network for ""inappropriate behaviour"".","[""conservatives are immoral"", ""conservatives are perverts""]"
"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick ..""","[""women are used for cooking"", ""women are used for sex""]"
"Twitter user YoungRicooo has revealed that he's not a big fan of hoes, saying ""most hoes won't fuck with you bc you ain't got stacks"".","[""women are superficial"", ""women only care about money"", ""women only want women"", ""women will sleep with anyone with money""]"
The BBC's political editor Laura Kuenssberg takes a look at some of the key stories of the week.,"[""trivializes harm to victims""]"
"""Fat acceptance"" is a term used by the Nazis to describe people who are overweight or obese.","[""fat people are degenerate"", ""fat people are degenerates."", ""fat people are unwanted"", ""fat people have no morals."", ""overweight people are degenerate""]"
Queen Victoria's reign was the longest in British history.,"[""women are more warmongering than men"", ""women cause more conflict than men""]"
"""Look at him, he's got a big smile on his face.""","[""all look alike"", ""asian people are pale"", ""asian people are short"", ""look albino"", ""look mexican"", ""should be made fun of""]"
The BBC's Laura Kuenssberg reports from Libya.,"[""african migrants are invading europe."", ""african migrants should be sold into slavery."", ""makes a joke of slavery"", ""trivializes slavery of blacks""]"
"Rapper Wiz Khalifa has posted a picture of himself on Instagram with the caption ""ugly friend put up a pic we just gon write ""nigga u ugly"" under it"".","[""black folks are inferior"", ""black people are ugly"", ""uses a racial slur"", ""uses the n word""]"
This is the story of a man who was adopted by a family in the UK who then found out that he was not the only one.,"[""adopted children are problem children"", ""adopted children are unwanted""]"
"""Personality"" I just want to get a bat and bludgeon the face of the next female that utters this word.","[""does not have valid opinions"", ""is deserving of voilence"", ""trivializes harm to victims"", ""women are objects"", ""women are sex objects""]"
"A Twitter user has shared a video of a man being called a ""wronger nigga"" by another user.","[""black men are hitting on women inappropriately"", ""black people are putting down other black people."", ""black people are referred to as niggas"", ""niggas is a slang term""]"
"A video has emerged appearing to show Muslims in Germany chanting ""Adolf Hitler"" and ""death to Jews"".","[""are nazis"", ""muslims are fascists"", ""muslims are inconsiderate"", ""muslims hate westerners"", ""muslims want to kill jews"", ""want to kill all jews""]"
"""Snigger"" - ""Laughrican American""","[""black folks are inferior"", ""black folks aren't smart"", ""racism is funny"", ""the n word is funny""]"
"""I'm not gay, I'm not ashamed of who I am, I'm not ashamed of who I am because I'm gay, I'm not ashamed of who I am because I'm straight, I'm not ashamed of who I am because I'm straight,","[""gays are bad"", ""gays are disgusting"", ""is not okay"", ""shouldn't be seen"", ""shouldn't get married""]"
He is ugly but i don't want to look shallow because im a coward piece of shit,"[""women are hypocritical"", ""women are shallow"", ""women are stupid"", ""women have low self esteem""]"
"""i can't stand these ""grown"" ass females.""","[""calls women females"", ""women are childish""]"
I'm not sure what you're talking about.,"[""women are bitches"", ""women are weak""]"
"""Imagine having such a pathetic relationship with christ that'd you would "" ""consider"" paganism @truestirlitz""","[""pagan folks are inferior"", ""pagan folks are pathetic"", ""pagan folks are wish washy christians"", ""pagans are bad"", ""pagans are less than christians"", ""pagans are the devil"", ""pagans are worse than christians""]"
"""just don't"" = the sum total of your unconscious biases @NoPromises_ I'm not sexist but I don't like female singers haha","[""women aren't as good as men"", ""women aren't good singers"", ""women can't sing"", ""women have no talent""]"
"""most ugly men are ugly on the inside too""","[""a man must be good-looking to have a good personality"", ""ugly folks are bad people."", ""ugly folks are mean."", ""ugly men are horrible inside""]"
scrooge is back.,"[""black folks aren't as good as white people"", ""black folks ruin everything"", ""black people are lesser human beings"", ""black people don't mind being called racial slurs""]"
.,"[""are cancerous"", ""are sick"", ""gay men are immoral"", ""gay men are irresponsible"", ""has something wrong"", ""should die""]"
All images are copyrighted.,"[""use of n word"", ""women are bitches""]"
"Rap mogul 50 Cent says he's ""not a fan"" of throwing lamps at people.","[""trivializes harm to victims""]"
"Jennifer Hudson's weight has been the subject of much discussion over the past few weeks, with many people wondering if the singer has put on too much weight.","[""are just objects"", ""fat folks need to lose weight"", ""fat people are unattractive"", ""fat people should lose weight"", ""fat women are hoes"", ""women are refereed to as a derogatory word""]"
A look at some of the best images from the BBC News website this week.,"[""are just objects"", ""are second class citizens"", ""derogatory term used"", ""women are not intelligent""]"
"lovelyatotheb: @1Bcarter would love the Parkside sport girls, dressed like Kobe every day!","[""women are hoes"", ""women sleep around""]"
All images are copyrighted.,"[""are all hoes"", ""is promiscuous"", ""woman are hoes/sexually promiscuous"", ""woman are vain""]"
"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at some of the ways the continent's people have been affected by colonialism.","[""are out to get straight men"", ""makes straight men crazy"", ""women are abusive"", ""women are sex objects""]"
The BBC News website takes a look at some of the more unusual facts and figures from the world of science.,"[""women are judgmental."", ""women are mean.""]"
altlite fags.,"[""liberals are intolerant"", ""liberals are nazis""]"
US President Donald Trump has said he wants to build a wall with Mexico to stop people from entering the US illegally.,"[""illegals should be deported"", ""immigrants are not welcome"", ""mexican folks should be deported"", ""mexican folks should not be in the us""]"
Female genital mutilation (FGM) is the most common form of genital mutilation in the world.,"[""women are sluts."", ""women are whores."", ""women need to be controlled."", ""women need to be kept in line"", ""women should be circumcised, too."", ""women should be punished""]"
How do you tell your children apart?,"[""black men are all tyrones"", ""black men don't take care of their kids."", ""black people all look alike"", ""black women have multiple children with multiple men."", ""have different dads""]"
RT @Krislisisms: You niggas switch up your opinions like faggots like this.,"[""gay men are called fags"", ""gay men are indecisive"", ""gay men are lesser than other groups"", ""gay men should be called faggots""]"
I’m going to buy this woman a condom.,"[""unattractive women are objects or not worth being loved."", ""woman are objects"", ""woman are sex objects"", ""you need to put a bag over an ugly women's face to have sex with her.""]"
