 Boys convince themselves they are a man by drinking lots of beer and having a vagina nearby to stick themselves into,"[""men need to prove themselves as manly"", ""men only drink."", ""men only want a woman to have sex with."", ""men will have sex with anyone""]"
" ""@ARIZZLEINDACUT: Females think dating a pussy is cute","[""must be masculine"", ""should not show weakness"", ""women date \""inferior\"" men"", ""women don't want real men anymore"", ""women sometimes just referred to as \""females\"""", ""women want to date weak men""]"
" Many times, but only by feminist women, Eriksson asks . #Eriks","[""feminists are violent"", ""feminists threaten rape"", ""threaten men"", ""use rape to get what they want""]"
" The president tweeted that Bill O''Reilly ""probably just grabbed some pussy like a","[""conservatives are immoral"", ""conservatives are perverts""]"
" ""ReachtheeCLIMAX: bitches can't cook but know","[""women are used for cooking"", ""women are used for sex""]"
" ""@YoungRicooo: Sad knowing that most hoes won't fuck","[""women are superficial"", ""women only care about money"", ""women only want women"", ""women will sleep with anyone with money""]"
" ""Before we """"PRAY FOR SYRIA"""" and their fake crisis, can we","[""trivializes harm to victims""]"
" ""Fat acceptance"" is degeneracy of the highest order, and during the Fourth","[""fat people are degenerate"", ""fat people are degenerates."", ""fat people are unwanted"", ""fat people have no morals."", ""overweight people are degenerate""]"
" ""From 1480 to 1913 European Queens waged far more wars","[""women are more warmongering than men"", ""women cause more conflict than men""]"
" ""Is that an alb","[""all look alike"", ""asian people are pale"", ""asian people are short"", ""look albino"", ""look mexican"", ""should be made fun of""]"
 Libya is investigating slave auctions in which African migrants are sold to the highest bidder . How come they're selling them in Libya when they're giving,"[""african migrants are invading europe."", ""african migrants should be sold into slavery."", ""makes a joke of slavery"", ""trivializes slavery of blacks""]"
" ""Niggas don't lie, our ugly friend put up a pic we","[""black folks are inferior"", ""black people are ugly"", ""uses a racial slur"", ""uses the n word""]"
" ""One man's trash is another man's treasure"" Wonderful saying, horrible","[""adopted children are problem children"", ""adopted children are unwanted""]"
" ""Personality"" is a term used to refer to women who use it . ""","[""does not have valid opinions"", ""is deserving of voilence"", ""trivializes harm to victims"", ""women are objects"", ""women are sex objects""]"
" ""RT @_jadanoele: """"na boo you","[""black men are hitting on women inappropriately"", ""black people are putting down other black people."", ""black people are referred to as niggas"", ""niggas is a slang term""]"
