Boys who think they are men are encouraged to stick their vaginas into women.,"[""men need to prove themselves as manly"", ""men only drink."", ""men only want a woman to have sex with."", ""men will have sex with anyone""]"
A Twitter user has poked fun at the idea that women think being in a relationship is,"[""must be masculine"", ""should not show weakness"", ""women date \""inferior\"" men"", ""women don't want real men anymore"", ""women sometimes just referred to as \""females\"""", ""women want to date weak men""]"
Sweden's Prime Minister Stefan Lofven has been criticised on social media for saying he,"[""feminists are violent"", ""feminists threaten rape"", ""threaten men"", ""use rape to get what they want""]"
"President Donald Trump has taken to Twitter to defend Fox News host Bill O'Reilly,","[""conservatives are immoral"", ""conservatives are perverts""]"
Twitter user @ReachtheeCLIMAX has come up with a clever way to get,"[""women are used for cooking"", ""women are used for sex""]"
Young Thug has taken to Twitter to poke fun at fellow rapper Wiz Khalifa's,"[""women are superficial"", ""women only care about money"", ""women only want women"", ""women will sleep with anyone with money""]"
All photographs are copyrighted.,"[""trivializes harm to victims""]"
"""Fat acceptance"" is a word that has been used by the Nazis to describe people","[""fat people are degenerate"", ""fat people are degenerates."", ""fat people are unwanted"", ""fat people have no morals."", ""overweight people are degenerate""]"
The history of Britain's relationship with the rest of Europe is,"[""women are more warmongering than men"", ""women cause more conflict than men""]"
A six-year-old boy,"[""all look alike"", ""asian people are pale"", ""asian people are short"", ""look albino"", ""look mexican"", ""should be made fun of""]"
"BBC Africa's Mark Lowen has been speaking to the head of Libya's anti-government militias, General Khalifa Haftar, about the","[""african migrants are invading europe."", ""african migrants should be sold into slavery."", ""makes a joke of slavery"", ""trivializes slavery of blacks""]"
"One Direction have taken to social media to share a photo of themselves with an ""ugly","[""black folks are inferior"", ""black people are ugly"", ""uses a racial slur"", ""uses the n word""]"
This is a very sad story of a man who was adopted and found out he,"[""adopted children are problem children"", ""adopted children are unwanted""]"
"""Personality"" I just want to get a bat and bludgeon the face of the next female","[""does not have valid opinions"", ""is deserving of voilence"", ""trivializes harm to victims"", ""women are objects"", ""women are sex objects""]"
.,"[""black men are hitting on women inappropriately"", ""black people are putting down other black people."", ""black people are referred to as niggas"", ""niggas is a slang term""]"
A video has emerged appearing to show Muslims in Germany chanting Nazi slogans.,"[""are nazis"", ""muslims are fascists"", ""muslims are inconsiderate"", ""muslims hate westerners"", ""muslims want to kill jews"", ""want to kill all jews""]"
"""Sn","[""black folks are inferior"", ""black folks aren't smart"", ""racism is funny"", ""the n word is funny""]"
"A gay man who married his partner has spoken out against same-sex marriage, saying he doesn't want his son","[""gays are bad"", ""gays are disgusting"", ""is not okay"", ""shouldn't be seen"", ""shouldn't get married""]"
he is ugly but not my type he is attractive but not my type he is ugly but not my type he is ugly but not my type he is ugly but not my type he is ugly,"[""women are hypocritical"", ""women are shallow"", ""women are stupid"", ""women have low self esteem""]"
All images are copyrighted.,"[""calls women females"", ""women are childish""]"
I'd give you a tyson 4 combo and an uppercut.,"[""women are bitches"", ""women are weak""]"
"""I'm not a pagan, I'm a","[""pagan folks are inferior"", ""pagan folks are pathetic"", ""pagan folks are wish washy christians"", ""pagans are bad"", ""pagans are less than christians"", ""pagans are the devil"", ""pagans are worse than christians""]"
"""just don't"" = the sum total of your unconscious biases @NoPromises_ I","[""women aren't as good as men"", ""women aren't good singers"", ""women can't sing"", ""women have no talent""]"
Most ugly men are ugly on the,"[""a man must be good-looking to have a good personality"", ""ugly folks are bad people."", ""ugly folks are mean."", ""ugly men are horrible inside""]"
"#000000 this sub has only gone downhill since scrooge left, and","[""black folks aren't as good as white people"", ""black folks ruin everything"", ""black people are lesser human beings"", ""black people don't mind being called racial slurs""]"
The BBC's science and technology correspondent Tomi Oladipo explains why the hashtag #fag,"[""are cancerous"", ""are sick"", ""gay men are immoral"", ""gay men are irresponsible"", ""has something wrong"", ""should die""]"
All images are copyrighted.,"[""use of n word"", ""women are bitches""]"
Rap star 50 Cent says he has no problem with,"[""trivializes harm to victims""]"
Jennifer Hudson has been named the winner of this year',"[""are just objects"", ""fat folks need to lose weight"", ""fat people are unattractive"", ""fat people should lose weight"", ""fat women are hoes"", ""women are refereed to as a derogatory word""]"
.,"[""are just objects"", ""are second class citizens"", ""derogatory term used"", ""women are not intelligent""]"
"lovelyatotheb: @1Bcarter would love the Parkside sport girls, dressed like","[""women are hoes"", ""women sleep around""]"
All pictures are copyrighted.,"[""are all hoes"", ""is promiscuous"", ""woman are hoes/sexually promiscuous"", ""woman are vain""]"
If you woke up as Chad and you wouldn't feel different because years of psychological damage at the hands of female human organisms has permanently made you the way you are,"[""are out to get straight men"", ""makes straight men crazy"", ""women are abusive"", ""women are sex objects""]"
A new study suggests that femoids are more likely to die if they spend,"[""women are judgmental."", ""women are mean.""]"
The BBC's political editor Laura Kuenssberg takes a look at some of the key,"[""liberals are intolerant"", ""liberals are nazis""]"
US President Donald Trump says he will,"[""illegals should be deported"", ""immigrants are not welcome"", ""mexican folks should be deported"", ""mexican folks should not be in the us""]"
Female genital mutilation (FGM) has been linked to an increased risk of penile cancer.,"[""women are sluts."", ""women are whores."", ""women need to be controlled."", ""women need to be kept in line"", ""women should be circumcised, too."", ""women should be punished""]"
"The BBC's Africa correspondent, Tomi Oladipo, looks at the challenges faced by","[""black men are all tyrones"", ""black men don't take care of their kids."", ""black people all look alike"", ""black women have multiple children with multiple men."", ""have different dads""]"
RT @Krislisisms: You niggas,"[""gay men are called fags"", ""gay men are indecisive"", ""gay men are lesser than other groups"", ""gay men should be called faggots""]"
I’m looking for a condom.,"[""unattractive women are objects or not worth being loved."", ""woman are objects"", ""woman are sex objects"", ""you need to put a bag over an ugly women's face to have sex with her.""]"
The Auschwitz concentration camp was made up of,"[""jewish people lied about the holocaust"", ""jews are liars"", ""jews didn't die in the holocaust"", ""trivializes harm to victims""]"
Watch the video above to find out what,"[""all japanese people are familiar with the same food dishes."", ""all japanese people are the same."", ""japanese people should fit a certain sterotype"", ""japanese people should have a knowledge of japanese foods""]"
It's not all about the boys...,"[""women are defined by their men."", ""women are intellectually deficient."", ""women are not as smart as men"", ""women can't form their own opinons"", ""women cannot think for themselves""]"
.,"[""are hypocrites"", ""dont really care about equality"", ""feminists are hypocrites"", ""feminists are hypocrits"", ""feminists are less intelligent than other people"", ""feminists want inequality""]"
.@Buckm00,"[""are niggers"", ""calls black people nigger"", ""is inherently bad"", ""slur"", ""use of the word nigger""]"
The number of illegal immigrants crossing the border into the United States has,"[""all immigrants cost the taxpayers"", ""all immigrants need to stay out"", ""should stay in their own country"", ""should stay out of the usa""]"
A group of young men have been caught on camera having a sex act in the middle of a busy,"[""are just objects"", ""derogatory term used"", ""gay men all have anal sex"", ""gay men are promiscuous"", ""gay men like to have anal sex"", ""gay men like to have anal sex, so poo will be on the condoms""]"
Find out what the Democrats are up to in their 2018 general election campaign.,"[""democrats cheat"", ""democrats lie"", ""liberals are corrupt"", ""liberals are liars""]"
Some of the things I see on the news that I don't agree with:,"[""christians are hypocrites"", ""christians take advantage of tax breaks""]"
Comedians react to the news that the US government is,"[""trivializes harm to victims""]"
"I bet on which building would fall first, the World Trade Center or the","[""terrorist attacks are exaggerated by the govt."", ""trivializes harm to victims""]"
Donald Trump has said that the 9/11 attacks were an inside job.,"[""trivializes harm to victims""]"
@nkrause11,"[""straight men do not cook"", ""women should cook for men"", ""women should do the cooking"", ""women should take care of all household duties""]"
@BigD757,"[""faggot is a derogatory term for gay people."", ""gay men are called faggots"", ""gay men are lesser than"", ""gay men should be called faggots"", ""gay people deserve to die"", ""gays are gross""]"
congrats to niggah on a good win over,"[""black people are the n word""]"
Do you support President Trump's decision to declare a national emergency to build a border wall with Mexico?,"[""leftists dont know what this country needs"", ""liberals are wrong""]"
All images are copyrighted.,"[""black folks are poor"", ""black folks can't afford healthy food"", ""black folks cannot afford good food"", ""black folks eat poorly"", ""minorities are poor"", ""minorities eat poorly""]"
US President-elect Donald Trump has taken to Twitter to poke fun at his,"[""conservatives are bad"", ""conservatives are the \""swamp\""""]"
"Stanley Stinks, a former member of the","[""describes jews as kikes"", ""jewish people are ashamed of their history"", ""jewish people are k*kes"", ""jews are ashamed of being jewish or self hating""]"
.,"[""gay men should be called fags"", ""gay men should be the butt of jokes""]"
A black man's dream: eating chicken out of a love box,"[""black folks eat chicken"", ""black folks lust after white women"", ""blacks are attracted to white women"", ""blacks like fried chicken"", ""blacks love fried chicken"", ""whites and blacks are different""]"
I'm not the only one who's had an argument with Kanye West.,"[""are just objects"", ""derogatory term used"", ""not intelligent"", ""women are refereed to as a derogatory word""]"
Gay,"[""fags is a bad term"", ""gay folks are \""fags\"""", ""gay folks are inferior."", ""gay people are called fags"", ""is a disappointment"", ""is promiscuous""]"
What do you make of this?,"[""gay folks don't have a family."", ""gay folks don't have kids."", ""gay people don't have families"", ""gay people don't have kids""]"
"@freeyungnwild ""bitches talk shit, you got the","[""are just objects"", ""are lesser people""]"
What do you expect from a black man,"[""black folks are dumb"", ""black folks are subhuman"", ""black people are less"", ""black people are niggers"", ""blacks are bad"", ""blacks should be called the n-word""]"
RT @raider_level them,"[""women are hoes"", ""women are only worth something if they're attractive"", ""women exist to please men"", ""women should be of a certain body type""]"
